num,x,y,alt,x,y,z,qx,qy,qz,qw
1,746434.4487816773,2549756.6378499586,0,-0.18614238500595093,0.039035238325595856,1.1834453344345093,-0.030204276055040308,-0.0075017142419808785,0.020692718192238654,0.9993013746639396
2,746434.4487816773,2549756.6378499586,0,-0.1838889569044113,0.041850745677948,1.228963851928711,-0.03015945140556002,-0.008704145746186257,0.020735744369386827,0.9992920865508702
3,746434.4784240215,2549756.095425054,0,-0.23283551633358,0.07250682264566423,1.7691166400909424,-0.029851627387533344,-0.015317052207273037,0.020890965432100343,0.9992186126255406
4,746434.4784240215,2549756.095425054,0,-0.2472243309020996,0.07600796222686768,1.837023377418518,-0.029825769565931495,-0.015890083625442208,0.02089794766717853,0.9992102904271334
5,746434.528870559,2549755.542260353,0,-0.2808516323566437,0.10004527121782304,2.2608561515808105,-0.029674774557294517,-0.02189934007444956,0.021021832411051367,0.9990985483030989
6,746434.5590652864,2549754.966605128,0,-0.3168448805809021,0.12621869146823886,2.730724334716797,-0.0298290068006306,-0.026806770691733598,0.021242352136825397,0.9989696641410408
7,746434.5682716905,2549754.412766474,0,-0.3773057460784912,0.1529955267906189,3.230727195739746,-0.030157232908807893,-0.0334080924751975,0.02131662539182519,0.998759251342563
8,746434.5572262811,2549753.836437297,0,-0.4518004357814789,0.18059131503105166,3.753994226455689,-0.03036618831208392,-0.0365736819229957,0.021235716690868784,0.9986437326367276
9,746434.5669850644,2549753.2493683244,0,-0.4718334078788757,0.21746395528316495,4.385880470275879,-0.030521020574339405,-0.041070563950122166,0.02123069746500704,0.99846428757621
10,746434.5651449143,2549752.7396682743,0,-0.5364915132522583,0.2472832351922989,4.899538993835449,-0.030566793306509875,-0.041147703630793134,0.02099439347593049,0.9984647079769255
11,746434.5437894604,2549752.16317061,0,-0.5698918104171753,0.2844011783599853,5.527815818786621,-0.030442292848908876,-0.04247478090637286,0.02058688221890863,0.9984214240858224
12,746434.5218816175,2549751.619903266,0,-0.6570271253585815,0.3163679242134094,6.098024845123291,-0.030442754671401763,-0.04224225201033191,0.02029385843609816,0.9984372740151922
13,746434.4999737705,2549751.0766359223,0,-0.7024180293083191,0.3497665226459503,6.672863006591798,-0.030490484495443494,-0.040845498556855146,0.01998823973115418,0.9985000980847848
14,746434.5290637193,2549750.5674413373,0,-0.7433441281318665,0.3821878731250763,7.217949390411378,-0.030569262377706095,-0.03764024011435285,0.01974444922827605,0.9986285041227738
15,746434.5285124485,2549749.980203878,0,-0.7718849182128906,0.4248262047767639,7.932359218597412,-0.030705554628717182,-0.0296840971262768,0.019365974754705383,0.9988998860318988
16,746434.5474764879,2549749.459764036,0,-0.8180416226387024,0.4528443515300751,8.431441307067871,-0.030667410116277525,-0.025383402767459592,0.019087731057419403,0.999024950310944
17,746434.5570511247,2549748.883771837,0,-0.8478744029998779,0.488449215888977,9.056750297546387,-0.030645933141177494,-0.02143258551400014,0.018818059602759844,0.9991232915375752
18,746434.5454533,2549748.340672983,0,-0.910995602607727,0.5193790197372437,9.645514488220217,-0.0306962283878542,-0.01944014803201211,0.018762849446616683,0.9991635390104554
19,746434.5646014586,2549747.8091563666,0,-0.9317412376403807,0.5464380383491516,10.12429428100586,-0.030700537104063376,-0.016778965852261546,0.01863085240980804,0.999214108519758
20,746434.5940596585,2549747.2778082374,0,-0.9727631211280824,0.5754316449165344,10.630173683166504,-0.03070738947008195,-0.015746704994141887,0.018573419976858303,0.9992317677016296
21,746434.6133919443,2549746.7352148485,0,-0.9721564054489136,0.6050103902816772,11.130136489868164,-0.030644454013453976,-0.015935019491542076,0.01854578916823359,0.9992312276426056
22,746434.6133919443,2549746.7352148485,0,-0.9835197925567628,0.6109691262245178,11.24483871459961,-0.030615751596789444,-0.01640525380917868,0.01856962030120211,0.9992240552566222
23,746434.6430342695,2549746.1927899476,0,-1.0241218805313108,0.6412964463233948,11.781135559082033,-0.030536744240130493,-0.013104504706297487,0.01845465877935978,0.9992773412706568
